How Low Can You Go with Feedback - 4 x Resolution - No Feedback Condition
Subject number:	monkey
Category Sequence:	seq1
Sex:	monkey
Age:	monkey
Experiment Started:	
Experiment Finished:	Sunday, March 19, 2017	8:49:50 PM
Trial Sequence (Sorted)
Image Set	Image Resolution	Category	Trial Type		Left Image Filename			Right Image Filename		Response	Response Time (ms)
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-a76448c9917440ee93330c8bc065c35e-4x4-0390.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-4e57dc88c6604fbe94a1865ef8931f0a-4x4-0039.jpg	3	1489927722499
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-9ff1e5e121b24461b53b9ad33a4c66b5-4x4-0172.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-feed9013d8e24d74b9b3b7f8791702eb-4x4-0222.jpg	8	1489927722700
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0357-b941442caf7c43ef9b62b767dec781c3-4x4-0304.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-537c6f56869948d7a94c2ca0afa607f3-4x4-0148.jpg	9	1489927722805
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-8e1d48fcbfe0461d9d81f4d9624fe0ff-4x4-0167.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-4ba4a994901b4be98fb171a59240fb51-4x4-0358.jpg	3	1489927722905
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-945fdccb0f46442dabccaf576ae82aaf-4x4-0170.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-3f117440c7f542f7a9d3e44f57f59cbc-4x4-0139.jpg	4	1489927722938
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-876e00f01664471ea67a004fcedb6e32-4x4-0374.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-c3ee06b7cda446008b89738a47bac698-4x4-0194.jpg	4	1489927723043
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-99640bdd183b442296b71229e4a80ac7-4x4-0171.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-0231486cb4d74741bde2cb32c4888aa0-4x4-0666.jpg	2	1489927723227
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0494-0821716e0efd493183f7e576bc26ab75-4x4-0499.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0357-3d813e5e0ae24a50b23550e0c51bbf26-4x4-0254.jpg	6	1489927723298
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-5f6c567b248d4368a8cf6371156b3e5b-4x4-0361.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0357-1671e7d908f940a3958a7306f979e7c0-4x4-0236.jpg	12	1489927723619
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-d62b385b3f4d4d67add7e3007eb22901-4x4-0647.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0357-bde097dfe20144789e63caf7e05747d7-4x4-0309.jpg	10	1489927723869
