How Low Can You Go: Experiment 2 (8xResolution with feedback)
Subject number:	monkey
Category Sequence:	seq1
Sex:	monkey
Age:	monkey
Experiment Started:	
Experiment Finished:	Friday, March 3, 2017	2:47:52 PM
Trial Sequence (Sorted)
Image Set	Image Resolution	Category	Trial Type		Left Image Filename			Right Image Filename		Response	Response Time (ms)
birds	1x1	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0545-97a13c49e3594737ac0aab095e0bbdc2-1x1-0717.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0362-4406c279ac88468594541e2f30dd8f9a-1x1-0444.jpg	0	1488523614463
birds	1x1	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0299-e28fa55702dc47b88a7edc45349b3710-1x1-0101.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0299-f0638dd76f4c4f1db99b2eb3d413d4c0-1x1-0109.jpg	0	1488523614495
birds	1x1	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0495-17b0f2b327954b22a524552aeb7bd003-1x1-0580.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0358-dbbba6e8225541b4bea4706ddc14d7be-1x1-0408.jpg	0	1488523614561
birds	1x1	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0362-0c863ca7590c4efbb0f14a7f528672d0-1x1-0431.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0545-f076bac575f0414d9dcad5a3d6cf6dfe-1x1-0748.jpg	0	1488523614662
birds	1x1	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0358-7c7118a6e21e45cd96e0ca889883d446-1x1-0370.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0357-b761d08eb802475cbd314cd053c866c9-1x1-0303.jpg	0	1488523614769
birds	1x1	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0299-f4ff19a4916a4ca9b01d10bdca0883ea-1x1-0114.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0362-5686b82b043e4e71b65b1fa86d036d28-1x1-0450.jpg	0	1488523614806
birds	1x1	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0299-7146f18566a7449fa4b0c7673ebdd540-1x1-0055.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0355-139d13a8f60540f8b2d35752ffb01ed8-1x1-0127.jpg	0	1488523614883
birds	1x1	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0545-c89bbb44903147c8873ddd60399ef567-1x1-0735.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0494-29f095d85be845eeb4524ca89732154d-1x1-0510.jpg	0	1488523615097
birds	1x1	accipitridae	mismatch	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/strigidae/	strigidae-0543-259b358a4dad471e958d0bf5b88a6e79-1x1-0557.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0362-567e6595313d489083adeaeaa8981347-1x1-0449.jpg	0	1488523614398
birds	1x1	accipitridae	mismatch	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/strigidae/	strigidae-0540-29b24f7fd7fc448991ac3e8e3187f1ac-1x1-0274.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/1x1/accipitridae/	accipitridae-0494-fcb7d19ac75146c3a7ec35f8a4720065-1x1-0568.jpg	0	1488523614430
