How Low Can You Go: Experiment 2 (8xResolution with feedback)
Subject number:	monkey
Category Sequence:	seq2
Sex:	monkey
Age:	monkey
Experiment Started:	
Experiment Finished:	Saturday, March 4, 2017	5:07:48 PM
Trial Sequence (Sorted)
Image Set	Image Resolution	Category	Trial Type		Left Image Filename			Right Image Filename		Response	Response Time (ms)
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-d819ed109fe34842a7c13b51c51f69bb-4x4-0406.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-66778e3248b04b3697d8435352dd0792-4x4-0152.jpg	11	1488618464265
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-5cae039cedd247699ba29793b8581475-4x4-0699.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-a22450419c8844229e215d67ba3fe46d-4x4-0385.jpg	10	1488618464303
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-466b504c52f0403584851c2d3987ad88-4x4-0355.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0494-29f095d85be845eeb4524ca89732154d-4x4-0510.jpg	4	1488618464309
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-df703b73a8064ddbabac9b797eca90c8-4x4-0744.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0357-6566bb8865e740d2be887b5b9e1bbcd9-4x4-0268.jpg	3	1488618464344
birds	4x4	accipitridae	mismatch	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0537-31b2dc6aa55d4e2685ca0cf6da5b7868-4x4-0013.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-ccb6960a8a9a41aa977dfa5492fb0ae3-4x4-0198.jpg	1	1488618464282
birds	4x4	accipitridae	mismatch	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0543-f7cdf04ee46f4bf39e2d00f9621eb77a-4x4-0653.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0357-c1fa5452c2984208a22796872356ffc6-4x4-0312.jpg	10	1488618464330
birds	4x4	accipitridae	mismatch	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0537-1f4d22665e8e42f3815b92e469c2a9c6-4x4-0008.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0357-423e50abb9604f43ab6d264d177574bb-4x4-0256.jpg	6	1488618464337
birds	4x4	accipitridae	mismatch	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0543-45446d575c4c4377892e0caf86394ec8-4x4-0570.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-3395eae85d07413badbaed9b06cf00e3-4x4-0134.jpg	3	1488618464351
birds	4x4	strigidae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0540-96cbfb21356b4491b3e9aecbfca7836b-4x4-0309.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0539-09d3bcbde1eb454eb442afc5e4b5dc3d-4x4-0161.jpg	11	1488618464261
birds	4x4	strigidae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0540-bc1d7d11047d4539a25470f68ab7ec67-4x4-0320.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0540-b9a2808e708d4215bb3dc6cc6861fa7c-4x4-0317.jpg	11	1488618464275
birds	4x4	strigidae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0537-3604a5120ddf450daaa55086df2cfe89-4x4-0016.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0537-f39f655182374329b14de3ed6e78fdba-4x4-0065.jpg	12	1488618464287
birds	4x4	strigidae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0539-bf742803d50a4690a6a123c3ad8c1b71-4x4-0233.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0539-e4a94148bedb487eaab2ce60d2d9e539-4x4-0246.jpg	6	1488618464323
birds	4x4	strigidae	mismatch	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-69eadee7af1e44bbabb672c65c147570-4x4-0703.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0544-83e208fac4aa48528eb83820e9a48e19-4x4-0702.jpg	6	1488618464270
birds	4x4	strigidae	mismatch	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0357-1b20cd15d6944c3ba3f0db3dfb003499-4x4-0238.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0543-357baf68515d4d60a96106d44ec39815-4x4-0561.jpg	2	1488618464292
birds	4x4	strigidae	mismatch	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0362-0c863ca7590c4efbb0f14a7f528672d0-4x4-0431.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0537-dcc9629684834641912b9487265b91ea-4x4-0061.jpg	6	1488618464298
birds	4x4	strigidae	mismatch	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-e827c258b51e4789bb22177632404f37-4x4-0747.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0542-8ca0eda15eb5423e93bb86f748003cf5-4x4-0491.jpg	3	1488618464315
birds	8x8	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/8x8/accipitridae/	accipitridae-0299-1eebca13780745b2a1f8803b2b56ca9a-8x8-0018.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/8x8/accipitridae/	accipitridae-0299-362bcb1b6b854ffd9bb445438c8df83a-8x8-0031.jpg	7	1488618464226
