How Low Can You Go with Feedback - 4 x Resolution - Feedback Condition
Subject number:	monkey
Category Sequence:	seq3
Sex:	monkey
Age:	monkey
Experiment Started:	Monday, March 20, 2017	4:53:42 PM
Experiment Finished:	Monday, March 20, 2017	4:55:01 PM
Trial Sequence (Sorted)
Image Set	Image Resolution	Category	Trial Type		Left Image Filename			Right Image Filename		Response	Response Time (ms)
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-b566f35edfe3427bb8b540a60d57fb1e-4x4-0638.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-ca7b91133b2b4f8e87caeae0e4a49c75-4x4-0093.jpg	9	30395
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0362-5c827f8f99924940878c04499b803695-4x4-0453.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-8fb38988090b4edd994e648eecc582ba-4x4-0715.jpg	1	30501
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-82ebe315d1854adf8a7a4a194999fa66-4x4-0063.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-454b846d06524b61a54aad4ae08cd84c-4x4-0143.jpg	3	31596
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-d62b385b3f4d4d67add7e3007eb22901-4x4-0647.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-0668864fea6a4bd991de9dcb5df1257d-4x4-0667.jpg	7	31828
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-d812df80900446819db7d5a29d40bf38-4x4-0203.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-e184b8c1f16946998e99f5cb70bac8f4-4x4-0411.jpg	8	32258
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-96958dd3810740f09c7961e509676f41-4x4-0624.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-edb939a4778b4c3a8572e905f2d1ee89-4x4-0416.jpg	3	33271
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-59cffa7c953442dc9a48566819c42082-4x4-0606.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-58d09524de6e42a88bad4d9f7e275c89-4x4-0697.jpg	3	33754
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-f3c5da5423ec4e94a61b277038a665ab-4x4-0112.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-5f6c567b248d4368a8cf6371156b3e5b-4x4-0361.jpg	5	33885
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-309e914b76b5475b98e1ed6055fde725-4x4-0344.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0362-5f28d72b6fd04683878fbba21a1f3f11-4x4-0454.jpg	6	34147
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-a135b3cf80c84f39a65a78e931b4aef1-4x4-0175.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-a4832ac1fe164896a688fa03b35a4558-4x4-0629.jpg	10	34272
