How Low Can You Go with Feedback - 4 x Resolution - Feedback Condition
Subject number:	monkey
Category Sequence:	seq6
Sex:	monkey
Age:	monkey
Experiment Started:	
Experiment Finished:	Sunday, March 19, 2017	8:22:30 PM
Trial Sequence (Sorted)
Image Set	Image Resolution	Category	Trial Type		Left Image Filename			Right Image Filename		Response	Response Time (ms)
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0494-0821716e0efd493183f7e576bc26ab75-4x4-0499.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-59108686e31446c58fe2124ccc63752c-4x4-0698.jpg	5	1489926124345
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-cd03f065ac824f60ab561a39077ef10a-4x4-0094.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-fe87acab339647b48023e38e2db759c8-4x4-0665.jpg	12	1489926124456
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0362-c39bb0763742437cb85c21cb08a65fb0-4x4-0488.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-cda2ab42bbdc4c148a83d354a1a26d58-4x4-0737.jpg	7	1489926125474
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0357-9281b44b3dfd4dd1a75a3d9fa3b03325-4x4-0288.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-fa45192bb9c844faa8ca372bcde17b37-4x4-0664.jpg	8	1489926125586
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-a70cf631712544409dab599ec1b35d7c-4x4-0178.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-85e1b34a4ef44d4a85da3ee416b821c0-4x4-0713.jpg	7	1489926126153
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-9a7f7135723347ad8b48963a3ac09a5c-4x4-0626.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-73dd58232be146569eeae82cd7ac39dd-4x4-0615.jpg	9	1489926126262
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0357-49df0cd659624c19a04c5c45805e9b4a-4x4-0261.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0362-4ad27e0efca846a6ae12bc1715b0a384-4x4-0447.jpg	5	1489926126612
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-fcfc17493ef04757a16117190e729192-4x4-0425.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0494-2fa3c78772b3416a85a1ec7ed16388f5-4x4-0512.jpg	6	1489926127115
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0494-e3735e96bbe44aaf90c35cdd7e82b0f8-4x4-0562.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-5ea3156b9c784916ad913f42a6dbec94-4x4-0047.jpg	8	1489926127376
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-b150676037d6457b891d6a7b23c9bf8b-4x4-0185.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-3ef09c98dc7742f7816164d212db446d-4x4-0138.jpg	9	1489926127874
