How Low Can You Go with Feedback - 4 x Resolution - Murdoch Grad Dip 2016
Feedback:	1	(Yes Feedback)
Subject number:	monkey
Category Sequence:	seq1
Sex:	monkey
Age:	monkey
Experiment Started:	
Experiment Finished:	Monday, March 20, 2017	6:48:35 PM
Trial Sequence (Sorted)
Image Set	Image Resolution	Category	Trial Type		Left Image Filename			Right Image Filename		Response	Response Time (ms)
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-d0f631b8ae414f98abead7b25012a75a-4x4-0738.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-93ac294f3b524fdcbb2fc8e66f742e06-4x4-0169.jpg	1	1490006858749
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0494-fcb7d19ac75146c3a7ec35f8a4720065-4x4-0568.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-b2cf57a69de541ffb237a6e411a39453-4x4-0636.jpg	11	1490006858810
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-ec42c4e08dd142a8a5eb08e5a2e82421-4x4-0415.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-b620d21dcbe943b4bddc031f14b064f1-4x4-0082.jpg	10	1490006858826
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-fddba1821db9463f9efcbcc91a3e56ff-4x4-0220.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-80a0a9d72aef49b38c0c8dbf32bd3426-4x4-0062.jpg	8	1490006858892
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0357-1671e7d908f940a3958a7306f979e7c0-4x4-0236.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-5a9b9b1093974e148fcfebd1530931b0-4x4-0046.jpg	1	1490006858926
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-cda2ab42bbdc4c148a83d354a1a26d58-4x4-0737.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-0fd030f761174433b837739933c5277c-4x4-0673.jpg	5	1490006858944
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-e3cdc44364d6462192cbf6971b4bb36c-4x4-0103.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-50238840f20d4012b95e622d7449bb86-4x4-0601.jpg	4	1490006858979
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0362-0b2ffa32a22c4019b5f7d4e0b92ee393-4x4-0429.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-b1864112167d421d8e3fb1885c9367a9-4x4-0728.jpg	8	1490006859214
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-59e2fca2594a45afa96b94b124aaa18a-4x4-0607.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-7c7118a6e21e45cd96e0ca889883d446-4x4-0370.jpg	2	1490006859337
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-dbb287c4f8fd4a10832bde34637a607c-4x4-0651.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-edb939a4778b4c3a8572e905f2d1ee89-4x4-0416.jpg	12	1490006859401
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-f76c5c3bd9b543ec951e5e611bf40571-4x4-0116.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-d80c671806da43b0ba96bce556f4c0b9-4x4-0405.jpg	7	1490006859468
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0362-6ffcc28e37a143ea844a3a93db052c5a-4x4-0463.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-f30c13598b474dab8c14e7cd768c5ec8-4x4-0420.jpg	2	1490006859491
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-cf953072490c4fafb15ad9e37ecd5cbf-4x4-0199.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0494-5ec15b686d63494bbcf91c200e67e94d-4x4-0526.jpg	8	1490006859537
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0355-8778ef2aed994beeb9a8f641717cac90-4x4-0164.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0494-7368f221da664a4fb18504250bee6573-4x4-0530.jpg	10	1490006859847
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-df406b26f1d94026aaff01e26e91e720-4x4-0654.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-d0cd9d16cdce4f0986ba82e1d9ddb63a-4x4-0401.jpg	1	1490006860002
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-cc709ec5a8db4501a673528629ed7deb-4x4-0736.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-d662dbc4a621491eaa1e917fde12426f-4x4-0095.jpg	9	1490006860055
birds	4x4	accipitridae	mismatch	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0541-05e05c3f5acb461d86b9e84d42babbcd-4x4-0337.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0357-423e50abb9604f43ab6d264d177574bb-4x4-0256.jpg	2	1490006858876
birds	4x4	accipitridae	mismatch	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0540-91aa9cd3bfe94a65bfcf57ae31ff716d-4x4-0308.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-8cdadce7cb554eecb6e4685d659a68e5-4x4-0066.jpg	8	1490006858961
birds	4x4	accipitridae	mismatch	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/strigidae/	strigidae-0544-2e3a29358bf34435b3bcfa8ed8ef74ff-4x4-0671.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-112f3c6ca2194318a05ac10d791663db-4x4-0674.jpg	8	1490006858996
