How Low Can You Go with Feedback - 4 x Resolution - Murdoch Grad Dip 2016
Feedback:	0	(No Feedback)
Subject number:	monkey
Category Sequence:	seq1
Sex:	monkey
Age:	monkey
Experiment Started:	
Experiment Finished:	Monday, March 20, 2017	6:33:33 PM
Trial Sequence (Sorted)
Image Set	Image Resolution	Category	Trial Type		Left Image Filename			Right Image Filename		Response	Response Time (ms)
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-c7ec989b60724ea5b6668e4be557d4aa-4x4-0644.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0357-42d1631f765249ec893df3f07924682e-4x4-0258.jpg	5	1490005956270
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0357-08ff1e9aaddd4775ac2996b76193c928-4x4-0230.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-a123f0c4736e49b8b7f1396aaf16b95d-4x4-0075.jpg	12	1490005956274
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-2f4f1078a1c24f19be03a3fd70df7508-4x4-0342.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-ecf2e247bc3b469397a2d2d124492e6d-4x4-0107.jpg	12	1490005956289
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-876e00f01664471ea67a004fcedb6e32-4x4-0374.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-59e2fca2594a45afa96b94b124aaa18a-4x4-0607.jpg	1	1490005956344
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-9dbf3e6c75594d75b332089f265aa95e-4x4-0074.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-d0cd9d16cdce4f0986ba82e1d9ddb63a-4x4-0401.jpg	12	1490005956373
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-da378b9926c84cbc98be1e96c63edff5-4x4-0650.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0357-8a43436f6ecf49f89586143a8fbd4114-4x4-0282.jpg	8	1490005956386
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-f30c13598b474dab8c14e7cd768c5ec8-4x4-0420.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0358-8108a108ac584fb79a23fb34ca660266-4x4-0372.jpg	7	1490005956407
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-e7d8febcfa8b41eb9876ba97ec9f954c-4x4-0105.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-5241f69cc125431f9f3c45426e5dafcf-4x4-0041.jpg	1	1490005956431
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0362-d8cb21df789f4af59cbf8a50d88bd0a8-4x4-0492.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0495-92c0768276f846acbaf5d404fb824807-4x4-0623.jpg	4	1490005956439
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0357-cb07ae914d3c4157beb061b7e309caff-4x4-0316.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0494-bd8b53043478410c98d4ba3d2a859eff-4x4-0557.jpg	11	1490005956456
birds	4x4	accipitridae	match	imageLeft:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0299-ca7b91133b2b4f8e87caeae0e4a49c75-4x4-0093.jpg	imageRight:	/Users/Matthew/HowLowFeedback1/images/birds/4x4/accipitridae/	accipitridae-0545-07788a163e9742708ed18ece4c78b825-4x4-0668.jpg	4	1490005956536
